text	language	category	annotator	source
समलैंगिक विवाह के प्रति विवादिगों के साथ समझौते की बजाय कानूनी दंड को प्राथमिकता देने की जरूरत है।	hi	Crime and Punishment	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
नैतिकता धर्मिक सांस्कृतिक और व्यक्तिगत विश्वासों से प्रभावित हो सकती है।	hi	Morality	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Reputation-building efforts may involve participating in international dialogues on immigrant labor rights.	en	External Regulation and Reputation	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
HIV testing is often required as part of immigration medical exams.	en	Health and Safety	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Political lobbying by hospitality industries can influence visa policies for seasonal workers.	en	Political	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Ethical arguments may advocate for the protection of immigrant women and children.	en	Morality	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Public sentiment may impact the availability of affordable healthcare options for immigrant families.	en	Public Sentiment	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigrant children should have access to educational programs in detention.	en	Health and Safety	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration policies should prioritize the protection of vulnerable populations such as unaccompanied minors.	en	Policy Prescription and Evaluation	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration debates in political campaigns can impact public sentiment.	en	Public Sentiment	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Reputation-building efforts may involve participating in international cultural exchange programs.	en	External Regulation and Reputation	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
The impact of immigration policies on international cooperation and relations should be evaluated.	en	Policy Prescription and Evaluation	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Capacity planning includes managing the distribution of humanitarian aid to refugees.	en	Capacity and Resources	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Ethical principles often require transparency and accountability in immigration policies.	en	Morality	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Resource allocation for immigration enforcement agencies must consider the scale of the task.	en	Capacity and Resources	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
The legality of expedited removal proceedings may involve concerns about the right to a fair hearing.	en	Legality, Constitutionality, Jurisdiction	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration agencies must plan for the capacity to provide legal support to immigrants.	en	Capacity and Resources	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration enforcement agencies cooperate with local law enforcement.	en	Crime and Punishment	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration officers use body cameras to document interactions for security purposes.	en	Security and Defense	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration policies may address access to mental health services for immigrants.	en	Other	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigrants often seek better economic opportunities to enhance their quality of life.	en	Health and Safety	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration policies may be used to promote demographic goals in political contexts.	en	Political	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration policies may be influenced by political considerations of human trafficking prevention.	en	Political	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Political leaders often engage in diplomacy to address migration challenges in conflict zones.	en	Political	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Border security includes measures to detect and prevent cyber threats.	en	Security and Defense	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Document fraud often involves the use of counterfeit visas.	en	Crime and Punishment	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Evaluations should assess the effectiveness of sanctuary policies in providing protection.	en	Policy Prescription and Evaluation	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigrant entrepreneurship often fosters innovation and job creation.	en	Other	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration offenses may involve fraudulent visa applications.	en	Crime and Punishment	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Capacity concerns extend to detention facilities and the treatment of detainees.	en	Capacity and Resources	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Ethical perspectives often highlight the importance of providing refuge to those facing persecution.	en	Morality	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Morality may necessitate efforts to address language barriers and promote integration.	en	Morality	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Political parties may take varying stances on immigration reform.	en	Political	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Policies should provide resources for the effective enforcement of labor protections for immigrant workers.	en	Policy Prescription and Evaluation	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
The legality of immigration policies often intersects with the rights of asylum seekers to legal representation.	en	Legality, Constitutionality, Jurisdiction	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Constitutionality in immigration policies may involve issues related to the rights of refugees.	en	Legality, Constitutionality, Jurisdiction	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigrants may face challenges in accessing quality childcare services impacting their work-life balance.	en	Health and Safety	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Quality job training programs can help immigrants secure better employment opportunities.	en	Health and Safety	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration detainees may appeal deportation orders.	en	Crime and Punishment	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Capacity concerns can lead to delays in processing humanitarian parole requests.	en	Capacity and Resources	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Cultural identity is transmitted through storytelling music and art.	en	Cultural Identity	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Access to affordable transportation options can enhance the quality of life for immigrants.	en	Health and Safety	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration can result in initiatives to promote immigrant LGBTQ+ rights.	en	Other	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Secure border infrastructure like fences and barriers is part of a nation's defense strategy.	en	Security and Defense	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigrant entrepreneurship often contributes to the diversity of restaurant offerings.	en	Other	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
समलैंगिक विवाह के अंतरराष्ट्रीय प्रमाणपत्र और प्रतिष्ठा के मामले में संगठनों और देशों के साथ मुद्दों की प्रबंधन आवश्यक है।	hi	External Regulation and Reputation	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Immigration policies may be used to address political concerns related to integration and social cohesion.	en	Political	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
Document fraud often involves the use of counterfeit passports.	en	Crime and Punishment	G01397737 (gasamani@gmu.edu)	self - Gokul Prathin A
